"","Koder_samlet","SKS1","SKS1_til","SKS10","SKS10_til","SKS11","SKS11_til","SKS12","SKS12_til","SKS13","SKS13_til","SKS2","SKS2_til","SKS3","SKS3_til","SKS4","SKS4_til","SKS5","SKS5_til","SKS6","SKS6_til","SKS7","SKS7_til","SKS8","SKS8_til","SKS9","SKS9_til","Tid_i_min"
"393","UXRE10_NA/UXRE20_NA/UXRE30_NA/UXRF40_TUL1/UXRF45_TUL1","Røntgenundersøgelse af columna cervicalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af columna thoracalis",NA,"Røntgenundersøgelse af columna lumbalis",NA,"Røntgenundersøgelse af håndled","højresidig","Røntgenundersøgelse af os scaphoideum","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"396","UXRE10_NA/UXRE20_NA/UXRE30_NA/UXRG25_TUL1/UXRG25_TUL2","Røntgenundersøgelse af columna cervicalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af columna thoracalis",NA,"Røntgenundersøgelse af columna lumbalis",NA,"Røntgenundersøgelse af knæ","højresidig","Røntgenundersøgelse af knæ","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"413","UXRE20_NA/UXRE30_NA/UXRG10_NA/UXRG25_TUL1/UXRG25_TUL2","Røntgenundersøgelse af columna thoracalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af columna lumbalis",NA,"Røntgenundersøgelse af bækken",NA,"Røntgenundersøgelse af knæ","højresidig","Røntgenundersøgelse af knæ","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"434","UXRE30_NA/UXRF25_TUL1/UXRF25_TUL2/UXRG25_TUL1","Røntgenundersøgelse af columna lumbalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af albue","højresidig","Røntgenundersøgelse af albue","venstresidig","Røntgenundersøgelse af knæ","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"444","UXRE30_NA/UXRG15_TUL1/UXRG15_TUL2/UXRG25_TUL2","Røntgenundersøgelse af columna lumbalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hofte","højresidig","Røntgenundersøgelse af hofte","venstresidig","Røntgenundersøgelse af knæ","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"447","UXRE30_NA/UXRG15_TUL1/UXRG25_TUL1/UXRG25_TUL2","Røntgenundersøgelse af columna lumbalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hofte","højresidig","Røntgenundersøgelse af knæ","højresidig","Røntgenundersøgelse af knæ","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"456","UXRE70_NA/UXRF50_TUL2/UXRG25_TUL1/UXRG25_TUL2","Skolioseoptagelse",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hånd og fingre","venstresidig","Røntgenundersøgelse af knæ","højresidig","Røntgenundersøgelse af knæ","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"486","UXRF15_TUL1/UXRG10_NA/UXRG15_TUL1/UXRG20_TUL1","Røntgenundersøgelse af skulder","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af bækken",NA,"Røntgenundersøgelse af hofte","højresidig","Røntgenundersøgelse af femur","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"499","UXRF15_TUL2/UXRF20_TUL2/UXRG10_NA/UXRG15_TUL2","Røntgenundersøgelse af skulder","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af overarm","venstresidig","Røntgenundersøgelse af bækken",NA,"Røntgenundersøgelse af hofte","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"564","UXRF40_TUL1/UXRF50_TUL1/UXRG10_NA/UXRG15_TUL1","Røntgenundersøgelse af håndled","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hånd og fingre","højresidig","Røntgenundersøgelse af bækken",NA,"Røntgenundersøgelse af hofte","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"568","UXRF40_TUL1/UXRG10_NA/UXRG15_TUL2/UXRG50_TUL1","Røntgenundersøgelse af håndled","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af bækken",NA,"Røntgenundersøgelse af hofte","venstresidig","Røntgenundersøgelse af fod og tæer","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"578","UXRF40_TUL2/UXRF45_TUL2/UXRG10_NA/UXRG15_TUL2","Røntgenundersøgelse af håndled","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af os scaphoideum","venstresidig","Røntgenundersøgelse af bækken",NA,"Røntgenundersøgelse af hofte","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"611","UXRG10_NA/UXRG10_TUL1/UXRG15_TUL1/UXRG15_TUL2","Røntgenundersøgelse af bækken",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af bækken","højresidig","Røntgenundersøgelse af hofte","højresidig","Røntgenundersøgelse af hofte","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"613","UXRG10_NA/UXRG15_TUL1/UXRG15_TUL2/UXRG20_TUL1","Røntgenundersøgelse af bækken",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hofte","højresidig","Røntgenundersøgelse af hofte","venstresidig","Røntgenundersøgelse af femur","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"615","UXRG10_NA/UXRG15_TUL1/UXRG15_TUL2/UXRG20_TUL2","Røntgenundersøgelse af bækken",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hofte","højresidig","Røntgenundersøgelse af hofte","venstresidig","Røntgenundersøgelse af femur","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"618","UXRG10_NA/UXRG15_TUL1/UXRG15_TUL2/UXRG30_TUL2","Røntgenundersøgelse af bækken",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hofte","højresidig","Røntgenundersøgelse af hofte","venstresidig","Røntgenundersøgelse af crus","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"621","UXRG10_NA/UXRG15_TUL1/UXRG15_TUL2/UXRG50_TUL1","Røntgenundersøgelse af bækken",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hofte","højresidig","Røntgenundersøgelse af hofte","venstresidig","Røntgenundersøgelse af fod og tæer","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"622","UXRG10_NA/UXRG15_TUL1/UXRG20_TUL1/UXRG25_TUL1","Røntgenundersøgelse af bækken",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hofte","højresidig","Røntgenundersøgelse af femur","højresidig","Røntgenundersøgelse af knæ","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"624","UXRG10_NA/UXRG15_TUL1/UXRG25_TUL1/UXRG25_TUL2","Røntgenundersøgelse af bækken",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hofte","højresidig","Røntgenundersøgelse af knæ","højresidig","Røntgenundersøgelse af knæ","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"625","UXRG10_NA/UXRG15_TUL1/UXRG25_TUL1/UXRG27_TUL2","Røntgenundersøgelse af bækken",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hofte","højresidig","Røntgenundersøgelse af knæ","højresidig","Tangential røntgenundersøgelse af patella","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"627","UXRG10_NA/UXRG15_TUL1/UXRG25_TUL2/UXRG27_TUL2","Røntgenundersøgelse af bækken",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hofte","højresidig","Røntgenundersøgelse af knæ","venstresidig","Tangential røntgenundersøgelse af patella","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"631","UXRG10_NA/UXRG15_TUL1/UXRG50_TUL1/UXRG50_TUL2","Røntgenundersøgelse af bækken",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hofte","højresidig","Røntgenundersøgelse af fod og tæer","højresidig","Røntgenundersøgelse af fod og tæer","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"633","UXRG10_NA/UXRG15_TUL2/UXRG20_TUL2/UXRG25_TUL2","Røntgenundersøgelse af bækken",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hofte","venstresidig","Røntgenundersøgelse af femur","venstresidig","Røntgenundersøgelse af knæ","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"635","UXRG10_NA/UXRG15_TUL2/UXRG20_TUL2/UXRG30_TUL2","Røntgenundersøgelse af bækken",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hofte","venstresidig","Røntgenundersøgelse af femur","venstresidig","Røntgenundersøgelse af crus","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"636","UXRG10_NA/UXRG15_TUL2/UXRG25_TUL2/UXRG27_TUL2","Røntgenundersøgelse af bækken",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hofte","venstresidig","Røntgenundersøgelse af knæ","venstresidig","Tangential røntgenundersøgelse af patella","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"637","UXRG10_NA/UXRG15_TUL2/UXRG25_TUL2/UXRG40_TUL2","Røntgenundersøgelse af bækken",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hofte","venstresidig","Røntgenundersøgelse af knæ","venstresidig","Røntgenundersøgelse af fodled","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"107","UXRG10_TUL1/UXRG15_TUL1/UXRG25_TUL1","Røntgenundersøgelse af bækken","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hofte","højresidig","Røntgenundersøgelse af knæ","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"111","UXRE30_NA/UXRG10_NA/UXRG15_TUL1/UXRG15_TUL2","Røntgenundersøgelse af columna lumbalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af bækken",NA,"Røntgenundersøgelse af hofte","højresidig","Røntgenundersøgelse af hofte","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"115","UXRG25_TUL1/UXRG25_TUL2/UXRG27_TUL2","Røntgenundersøgelse af knæ","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af knæ","venstresidig","Tangential røntgenundersøgelse af patella","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"120","UXRF12_TUL1/UXRF12_TUL2/UXRF15_TUL2","Røntgenundersøgelse af akromioclavicularled","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af akromioclavicularled","venstresidig","Røntgenundersøgelse af skulder","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"128","UXRF40_TUL1/UXRF45_TUL1/UXRF50_TUL1","Røntgenundersøgelse af håndled","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af os scaphoideum","højresidig","Røntgenundersøgelse af hånd og fingre","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"139","UXRG10_TUL2/UXRG15_TUL2/UXRG25_TUL2","Røntgenundersøgelse af bækken","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hofte","venstresidig","Røntgenundersøgelse af knæ","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"147","UXRF40_TUL2/UXRF45_TUL2/UXRF50_TUL2","Røntgenundersøgelse af håndled","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af os scaphoideum","venstresidig","Røntgenundersøgelse af hånd og fingre","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"163","UXRF12_TUL1/UXRF12_TUL2/UXRF15_TUL1","Røntgenundersøgelse af akromioclavicularled","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af akromioclavicularled","venstresidig","Røntgenundersøgelse af skulder","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"182","UXRG40_TUL1/UXRG40_TUL2/UXRG50_TUL1","Røntgenundersøgelse af fodled","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af fodled","venstresidig","Røntgenundersøgelse af fod og tæer","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"187","UXRG40_TUL1/UXRG50_TUL1/UXRG50_TUL2","Røntgenundersøgelse af fodled","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af fod og tæer","højresidig","Røntgenundersøgelse af fod og tæer","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"193","UXRC20_TUL2/UXRF12_TUL1/UXRF12_TUL2","Røntgenundersøgelse af clavicula","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af akromioclavicularled","højresidig","Røntgenundersøgelse af akromioclavicularled","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"198","UXRE20_NA/UXRE30_NA/UXRG25_TUL1/UXRG25_TUL2","Røntgenundersøgelse af columna thoracalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af columna lumbalis",NA,"Røntgenundersøgelse af knæ","højresidig","Røntgenundersøgelse af knæ","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"212","UXRF50_TUL2/UXRG25_TUL1/UXRG25_TUL2","Røntgenundersøgelse af hånd og fingre","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af knæ","højresidig","Røntgenundersøgelse af knæ","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"213","UXRF50_TUL2/UXRG60_TUL1/UXRG60_TUL2","Røntgenundersøgelse af hånd og fingre","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse på lang film af underekstremiteten","højresidig","Røntgenundersøgelse på lang film af underekstremiteten","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"215","UXRG10_TUL2/UXRG15_TUL1/UXRG15_TUL2","Røntgenundersøgelse af bækken","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hofte","højresidig","Røntgenundersøgelse af hofte","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"219","UXRG25_TUL2/UXRG27_TUL2/UXRG50_TUL2","Røntgenundersøgelse af knæ","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Tangential røntgenundersøgelse af patella","venstresidig","Røntgenundersøgelse af fod og tæer","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"222","UXRG40_TUL1/UXRG40_TUL2/UXRG50_TUL2","Røntgenundersøgelse af fodled","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af fodled","venstresidig","Røntgenundersøgelse af fod og tæer","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"231","UXRC20_TUL1/UXRC20_TUL2/UXRF15_TUL1","Røntgenundersøgelse af clavicula","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af clavicula","venstresidig","Røntgenundersøgelse af skulder","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"240","UXRE20_NA/UXRE30_NA/UXRG15_TUL1/UXRG15_TUL2","Røntgenundersøgelse af columna thoracalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af columna lumbalis",NA,"Røntgenundersøgelse af hofte","højresidig","Røntgenundersøgelse af hofte","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"241","UXRE20_NA/UXRE30_NA/UXRG25_TUL2/UXRG27_TUL2","Røntgenundersøgelse af columna thoracalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af columna lumbalis",NA,"Røntgenundersøgelse af knæ","venstresidig","Tangential røntgenundersøgelse af patella","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"252","UXRE70_NA/UXRG10_NA/UXRG15_TUL1/UXRG15_TUL2","Skolioseoptagelse",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af bækken",NA,"Røntgenundersøgelse af hofte","højresidig","Røntgenundersøgelse af hofte","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"256","UXRF15_TUL1/UXRF25_TUL1/UXRF30_TUL1","Røntgenundersøgelse af skulder","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af albue","højresidig","Røntgenundersøgelse af underarm","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"259","UXRF15_TUL1/UXRG25_TUL1/UXRG25_TUL2","Røntgenundersøgelse af skulder","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af knæ","højresidig","Røntgenundersøgelse af knæ","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"261","UXRF15_TUL2/UXRF20_TUL2/UXRF25_TUL2","Røntgenundersøgelse af skulder","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af overarm","venstresidig","Røntgenundersøgelse af albue","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"262","UXRF15_TUL2/UXRF25_TUL2/UXRF30_TUL2","Røntgenundersøgelse af skulder","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af albue","venstresidig","Røntgenundersøgelse af underarm","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"263","UXRF15_TUL2/UXRF40_TUL2/UXRF50_TUL2","Røntgenundersøgelse af skulder","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af håndled","venstresidig","Røntgenundersøgelse af hånd og fingre","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"265","UXRF25_TUL1/UXRF40_TUL1/UXRF45_TUL1","Røntgenundersøgelse af albue","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af håndled","højresidig","Røntgenundersøgelse af os scaphoideum","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"272","UXRF40_TUL1/UXRF40_TUL2/UXRF45_TUL2","Røntgenundersøgelse af håndled","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af håndled","venstresidig","Røntgenundersøgelse af os scaphoideum","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"276","UXRF40_TUL1/UXRG40_TUL2/UXRG50_TUL1","Røntgenundersøgelse af håndled","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af fodled","venstresidig","Røntgenundersøgelse af fod og tæer","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"281","UXRF50_TUL1/UXRG25_TUL1/UXRG27_TUL2","Røntgenundersøgelse af hånd og fingre","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af knæ","højresidig","Tangential røntgenundersøgelse af patella","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"283","UXRF50_TUL2/UXRG40_TUL1/UXRG40_TUL2","Røntgenundersøgelse af hånd og fingre","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af fodled","højresidig","Røntgenundersøgelse af fodled","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"291","UXRG10_TUL1/UXRG15_TUL1/UXRG20_TUL1","Røntgenundersøgelse af bækken","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hofte","højresidig","Røntgenundersøgelse af femur","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"292","UXRG10_TUL1/UXRG15_TUL1/UXRG25_TUL2","Røntgenundersøgelse af bækken","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hofte","højresidig","Røntgenundersøgelse af knæ","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"293","UXRG10_TUL2/UXRG15_TUL2/UXRG20_TUL2","Røntgenundersøgelse af bækken","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hofte","venstresidig","Røntgenundersøgelse af femur","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"296","UXRG15_TUL1/UXRG15_TUL2/UXRG25_TUL2","Røntgenundersøgelse af hofte","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hofte","venstresidig","Røntgenundersøgelse af knæ","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"297","UXRG15_TUL1/UXRG25_TUL1/UXRG27_TUL2","Røntgenundersøgelse af hofte","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af knæ","højresidig","Tangential røntgenundersøgelse af patella","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"300","UXRG20_TUL1/UXRG25_TUL1/UXRG27_TUL2","Røntgenundersøgelse af femur","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af knæ","højresidig","Tangential røntgenundersøgelse af patella","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"301","UXRG20_TUL2/UXRG25_TUL2/UXRG27_TUL2","Røntgenundersøgelse af femur","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af knæ","venstresidig","Tangential røntgenundersøgelse af patella","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"303","UXRG25_TUL1/UXRG25_TUL2/UXRG50_TUL1","Røntgenundersøgelse af knæ","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af knæ","venstresidig","Røntgenundersøgelse af fod og tæer","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"307","UXRG25_TUL2/UXRG27_TUL2/UXRG50_TUL1","Røntgenundersøgelse af knæ","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Tangential røntgenundersøgelse af patella","venstresidig","Røntgenundersøgelse af fod og tæer","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"310","UXRG30_TUL2/UXRG40_TUL2/UXRG50_TUL2","Røntgenundersøgelse af crus","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af fodled","venstresidig","Røntgenundersøgelse af fod og tæer","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"319","UXRG45_TUL1/UXRG45_TUL2/UXRG50_TUL2","Røntgenundersøgelse af calcaneus","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af calcaneus","venstresidig","Røntgenundersøgelse af fod og tæer","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"350","UXRC00_NA/UXRF20_TUL2/UXRG10_NA/UXRG15_TUL2","Røntgenundersøgelse af thorax",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af overarm","venstresidig","Røntgenundersøgelse af bækken",NA,"Røntgenundersøgelse af hofte","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"359","UXRC00_NA/UXRG10_NA/UXRG15_TUL1/UXRG40_TUL1","Røntgenundersøgelse af thorax",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af bækken",NA,"Røntgenundersøgelse af hofte","højresidig","Røntgenundersøgelse af fodled","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"368","UXRC20_TUL1/UXRF10_TUL1/UXRF15_TUL1","Røntgenundersøgelse af clavicula","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af scapula","højresidig","Røntgenundersøgelse af skulder","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"369","UXRC20_TUL1/UXRF12_TUL1/UXRF12_TUL2","Røntgenundersøgelse af clavicula","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af akromioclavicularled","højresidig","Røntgenundersøgelse af akromioclavicularled","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"370","UXRC20_TUL1/UXRF15_TUL1/UXRF25_TUL1","Røntgenundersøgelse af clavicula","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af skulder","højresidig","Røntgenundersøgelse af albue","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"376","UXRC20_TUL1/UXRG25_TUL1/UXRG27_TUL2","Røntgenundersøgelse af clavicula","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af knæ","højresidig","Tangential røntgenundersøgelse af patella","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"380","UXRC20_TUL2/UXRF10_TUL2/UXRF15_TUL2","Røntgenundersøgelse af clavicula","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af scapula","venstresidig","Røntgenundersøgelse af skulder","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"384","UXRC20_TUL2/UXRF20_TUL2/UXRF40_TUL2","Røntgenundersøgelse af clavicula","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af overarm","venstresidig","Røntgenundersøgelse af håndled","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"391","UXRC35_NA/UXRE70_NA/UXRF10_TUL1/UXRF10_TUL2","Røntgenundersøgelse af sternum",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Skolioseoptagelse",NA,"Røntgenundersøgelse af scapula","højresidig","Røntgenundersøgelse af scapula","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
